Group,d13C,d15N,d34S
1,-16.58,5.52,3.21
1,-14.94,7.3,4.91
1,-18.89,5.78,5.86
1,-16.44,6.15,6.24
1,-16.04,7.28,6.43
1,-15.65,7.82,6.79
1,-16.35,6.91,6.85
1,-19.18,7.14,7.05
1,-17.71,5.42,7.11
1,-17.76,6.11,7.22
1,-17.15,6.5,7.26
1,-17.31,6.68,7.28
1,-16.08,8.74,7.37
1,-14.91,7.39,7.58
1,-17.83,6.89,7.63
1,-14.37,8.39,7.99
1,-19.64,8.12,8.09
1,-17.07,7.57,8.44
1,-15.2,9,8.84
1,-16.32,9.27,9.11
1,-18.47,8.88,9.32
1,-16.77,9.24,9.67
1,-18.96,6.27,10.18
1,-18.06,8.43,10.26
1,-17.8,6.73,10.8
1,-20.32,8.77,11.25
1,-21.66,8.39,12.77
1,-20.65,9.28,12.81
2,-14.89,8.26,3.33
2,-16.33,7.47,3.47
2,-14.64,7.48,4.65
2,-16.19,7.96,4.84
2,-15.05,7.88,4.85
2,-16.44,8.26,5
2,-15.52,7.95,5.16
2,-14,7.64,5.25
2,-14.06,7.37,5.41
2,-16.33,7.53,5.52
2,-15.28,7.8,5.69
2,-17.1,9.09,6.01
2,-16.57,8.74,6.81
2,-16.28,7.82,6.83
2,-16.54,7.74,7.06
2,-17.12,8.53,7.3
2,-16.27,8.3,7.94
2,-16.78,8.78,8.52
2,-16.3,8.99,8.75
2,-16.93,9.11,8.88
2,-17.47,9.49,10.04
2,-14.89,8.26,10.08
2,-17.58,9.79,11.09
3,-16.89,9.95,6.11
3,-18.54,10.74,8.3
3,-15.93,9.49,8.81
3,-18.53,11.27,9.42
3,-18.31,8.44,10.25
3,-18.22,10.53,12.27
3,-20.23,10.91,12.31
3,-19.51,11.29,12.84
3,-19.15,14.81,13.42
3,-19.37,12.07,13.69
3,-18.81,14.58,13.7
3,-18.95,14.52,13.82
4,-16.48,16.04,17.06
4,-16.99,15.94,16.11
4,-17.06,15.14,15.27
4,-16.82,15.78,14.52
