Group,d13C,d15N,d34S
1,-16.61,11.19,13.79
1,-18.37,9.67,6.73
1,-16.66,8.41,9.21
1,-17.96,8.23,9.2
1,-19.09,9.77,6.48
1,-18.99,10.79,8.13
1,-19.42,11.48,12.48
1,-19.03,11.46,12.14
1,-17.89,11.37,12.23
2,-12.24,7.18,0.93
2,-12.41,7.16,4.84
2,-12.3,6.91,1.09
2,-11.37,6.83,1.2
2,-13.24,6.86,2.68
2,-12.64,7.33,1.69
2,-12.38,7.55,1.33
2,-11.95,7.49,1.29
2,-12.51,7.27,1.57
3,-16.59,14.14,17.58
3,-18.41,15.62,12.75
3,-17.32,15.5,12.61
3,-19.74,13.6,14.15
3,-19.76,14.2,11.44
3,-18.29,14.22,12.83
3,-20.12,15.03,12.05
3,-18.38,14.64,13.47
3,-19.1,14.23,13.5
3,-19.16,14.4,13.36
4,-20.66,11.8,13.9
4,-20.64,11.84,14.57
4,-20.49,11.63,13.86
4,-20.41,11.61,13.72
4,-20.41,11.5,14.03
4,-20.75,11.66,13.8
4,-22.38,11.84,14.59
4,-20.87,12.22,9.58
4,-17.43,15.17,14.46
5,-17.81,15.15,15.14
5,-17.96,15.25,14.97
5,-17.79,15.49,14.92
5,-18.68,15.55,14.86
5,-18.08,15.39,15.47
5,-20.12,15.15,15.79
5,-18.16,15.44,13.47
