Location,Consumer,Source,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Louisiana,Blue crab,Epiphytes,0.565,0.105,0.373,0.4,0.49,0.559,0.638,0.746,0.778
Louisiana,Killifish,Epiphytes,0.416,0.091,0.239,0.268,0.35,0.418,0.479,0.564,0.586
Louisiana,Red drum-Striped bass,Epiphytes,0.498,0.133,0.281,0.306,0.404,0.487,0.57,0.734,0.822
Louisiana,Spotted seatrout,Epiphytes,0.464,0.238,0.082,0.109,0.263,0.454,0.648,0.872,0.919
Louisiana,Blue crab,POM,0.185,0.069,0.052,0.07,0.137,0.187,0.234,0.297,0.317
Louisiana,Killifish,POM,0.1,0.052,0.015,0.023,0.06,0.098,0.135,0.191,0.208
Louisiana,Red drum-Striped bass,POM,0.384,0.106,0.109,0.184,0.333,0.397,0.456,0.528,0.552
Louisiana,Spotted seatrout,POM,0.296,0.18,0.016,0.026,0.131,0.3,0.447,0.577,0.602
Louisiana,Blue crab,Benthic algae,0.021,0.017,0.001,0.002,0.008,0.017,0.03,0.055,0.065
Louisiana,Killifish,Benthic algae,0.045,0.038,0,0.001,0.01,0.037,0.071,0.118,0.133
Louisiana,Red drum-Striped bass,Benthic algae,0.008,0.008,0,0.001,0.003,0.006,0.011,0.024,0.03
Louisiana,Spotted seatrout,Benthic algae,0.024,0.03,0,0.001,0.004,0.012,0.031,0.086,0.112
Louisiana,Blue crab,Saltmarsh veg,0.229,0.06,0.108,0.127,0.188,0.231,0.273,0.323,0.337
Louisiana,Killifish,Saltmarsh veg,0.439,0.049,0.337,0.355,0.409,0.442,0.474,0.512,0.524
Louisiana,Red drum-Striped bass,Saltmarsh veg,0.109,0.058,0.016,0.023,0.063,0.105,0.15,0.21,0.229
Louisiana,Spotted seatrout,Saltmarsh veg,0.216,0.113,0.022,0.035,0.123,0.22,0.303,0.394,0.419
North Carolina,Blue crab,Epiphytes,0.222,0.078,0.087,0.105,0.168,0.216,0.272,0.365,0.392
North Carolina,Killifish,Epiphytes,0.128,0.085,0.017,0.025,0.065,0.111,0.173,0.293,0.336
North Carolina,Red drum-Striped bass,Epiphytes,0.252,0.097,0.08,0.113,0.183,0.242,0.308,0.431,0.475
North Carolina,Flounder,Epiphytes,0.139,0.109,0.015,0.022,0.06,0.108,0.187,0.357,0.433
North Carolina,Spotted seatrout,Epiphytes,0.709,0.115,0.475,0.516,0.632,0.712,0.795,0.89,0.913
North Carolina,Blue crab,POM,0.465,0.045,0.367,0.387,0.437,0.468,0.495,0.535,0.545
North Carolina,Killifish,POM,0.544,0.051,0.432,0.458,0.515,0.547,0.58,0.618,0.633
North Carolina,Red drum-Striped bass,POM,0.376,0.054,0.26,0.282,0.343,0.379,0.412,0.458,0.474
North Carolina,Flounder,POM,0.505,0.067,0.344,0.391,0.471,0.512,0.551,0.597,0.61
North Carolina,Spotted seatrout,POM,0.165,0.08,0.031,0.046,0.104,0.161,0.222,0.304,0.325
North Carolina,Blue crab,Benthic algae,0.042,0.034,0.002,0.003,0.016,0.034,0.059,0.108,0.128
North Carolina,Killifish,Benthic algae,0.037,0.042,0.001,0.001,0.009,0.024,0.051,0.117,0.143
North Carolina,Red drum-Striped bass,Benthic algae,0.041,0.043,0.001,0.002,0.01,0.026,0.057,0.128,0.155
North Carolina,Flounder,Benthic algae,0.054,0.067,0.001,0.001,0.009,0.029,0.075,0.189,0.232
North Carolina,Spotted seatrout,Benthic algae,0.031,0.038,0.001,0.001,0.007,0.017,0.04,0.11,0.136
North Carolina,Blue crab,Saltmarsh veg,0.271,0.074,0.121,0.147,0.221,0.272,0.322,0.391,0.413
North Carolina,Killifish,Saltmarsh veg,0.29,0.081,0.109,0.143,0.241,0.299,0.347,0.409,0.428
North Carolina,Red drum-Striped bass,Saltmarsh veg,0.332,0.093,0.136,0.173,0.273,0.336,0.396,0.477,0.504
North Carolina,Flounder,Saltmarsh veg,0.302,0.097,0.08,0.117,0.241,0.317,0.374,0.435,0.453
North Carolina,Spotted seatrout,Saltmarsh veg,0.095,0.067,0.011,0.016,0.043,0.079,0.129,0.226,0.263
New Jersey,Blue crab,Epiphytes,0.097,0.092,0.002,0.004,0.024,0.067,0.148,0.287,0.324
New Jersey,Killifish,Epiphytes,0.007,0.008,0,0,0.002,0.005,0.01,0.023,0.028
New Jersey,Red drum-Striped bass,Epiphytes,0.074,0.086,0.001,0.002,0.012,0.038,0.103,0.274,0.322
New Jersey,Flounder,Epiphytes,0.157,0.139,0.001,0.002,0.022,0.128,0.271,0.403,0.433
New Jersey,Blue crab,POM,0.538,0.062,0.391,0.415,0.504,0.549,0.581,0.62,0.632
New Jersey,Killifish,POM,0.017,0.01,0.003,0.005,0.01,0.015,0.022,0.035,0.041
New Jersey,Red drum-Striped bass,POM,0.662,0.059,0.52,0.54,0.632,0.671,0.702,0.744,0.756
New Jersey,Flounder,POM,0.698,0.091,0.509,0.534,0.635,0.71,0.766,0.83,0.845
New Jersey,Blue crab,Benthic algae,0.041,0.039,0,0.002,0.011,0.029,0.058,0.121,0.146
New Jersey,Killifish,Benthic algae,0.005,0.005,0,0,0.001,0.003,0.006,0.015,0.019
New Jersey,Red drum-Striped bass,Benthic algae,0.027,0.029,0,0.001,0.006,0.016,0.038,0.089,0.103
New Jersey,Flounder,Benthic algae,0.061,0.065,0,0.001,0.008,0.033,0.101,0.195,0.213
New Jersey,Blue crab,Saltmarsh veg,0.324,0.043,0.23,0.25,0.297,0.328,0.354,0.389,0.399
New Jersey,Killifish,Saltmarsh veg,0.971,0.013,0.941,0.948,0.964,0.973,0.981,0.989,0.991
